repulsion : Eades
attraction : Eades

Nouvelles postions des noeuds (x, y, z)
----------------------------------------------------
Node 0 : (1.164960964645676, -0.5169535864747644, 0.04749117997321043)
Node 1 : (1.0945501232953019, 4.837371120739414, 2.341718507923902)
Node 2 : (2.1702488831208595, 1.4082416462889364, 2.130700085149878)
Node 3 : (-1.841876803893724, 1.9234963704367285, 0.21626959432140913)
Node 4 : (1.5834744768594524, 1.6942380312313103, 1.941759991779451)
Node 5 : (1.4154940704714396, -0.3042450364831455, 0.3462409099247219)
Node 6 : (2.6854358477850444, 0.95767794391932, 2.491916237622512)
Node 7 : (2.413821446030732, -0.4305538763391847, 2.152754103708625)
Node 8 : (1.4338997904653166, 4.30052767799064, 2.3846360396682846)
Node 9 : (1.6560325119537138, -0.29384490073783365, 1.0358679290925767)
Node 10 : (1.285735824897449, -0.2623030537794566, 0.38788723517314583)
Node 11 : (1.5466409574894657, 0.21810158652823064, 0.6637098717874087)
Node 12 : (-1.3330056047382068, 3.143422473980827, 1.9978360885510849)
Node 13 : (2.2118542470454154, 1.2344114462778306, 1.8641561375951385)
Node 14 : (0.7754573641272846, 0.9191584184325632, -1.0653567452565122)
Node 15 : (1.2951139474170363, 0.039642569468131945, 0.07440899728980757)
Node 16 : (2.066621310679193, -0.1619843003193293, 1.6080393777501323)
Node 17 : (1.606805850687925, -0.7218689268660453, 1.088893860057478)
Node 18 : (2.315845287226752, 1.3540191223437699, 2.1336869001691987)
Node 19 : (0.9045832418206264, 0.9667114790399527, -1.082813053480398)
Node 20 : (2.0353360964068754, 1.1975389637916563, 1.5074140587776048)
Node 21 : (2.2856716063450295, -1.2849021316703269, 2.7002729312544456)
Node 22 : (1.393376078309301, -0.11991025563995876, 0.5442084762366772)
Node 23 : (0.9568015540190812, 0.34486354962510546, -1.3452513502675953)
Node 24 : (1.973443437952856, -0.6493602725472397, 1.7350294230909749)
Node 25 : (-1.9499799865927314, 2.035036976645927, 0.10907804255496423)
Node 26 : (-1.1916874672862048, 3.107362426565986, 1.6117152140639381)
Node 27 : (1.1388938626024305, 0.4164293987787401, -0.6552672418897597)
Node 28 : (2.4693585174423487, -0.06845002195013845, 2.162946375130097)
Node 29 : (0.4584417106718063, 1.5136184695776445, -0.4649882902099195)
Node 30 : (1.1586779199498658, -0.12930139365465446, -0.3101317769920114)
Node 31 : (-1.850594815600691, 1.7431283801317476, 0.058148868939534325)
Node 32 : (2.531162568113767, -1.4205974272986441, 3.136945662774029)
Node 33 : (2.439408058479561, 0.8639771749890445, 2.2606977631804077)
Node 34 : (1.3294531190308785, -0.3835637636158961, 0.6459004715093526)
Node 35 : (2.2508669562230468, -0.27733826166955033, 1.9131472270161194)
Node 36 : (1.3481324233505856, 1.06323178008455, 0.10307466056404835)
Node 37 : (0.24161330566038886, 1.4153986975982802, -0.8467795553977608)
Node 38 : (0.9792359368198944, 1.148560515988641, -0.563782050765365)
Node 39 : (-1.4951330484626908, 3.267902363558887, 1.4819939583524617)
Node 40 : (1.3669101732637583, 0.6734112902203657, -0.15871187821802343)
